Date,Year,Model,Revenue,Quantity Sold,Region,Country,Channel
03/11/2021,2021,BMW 5 Series,299261,4,Europe,United Kingdom,Dealership
01/09/2021,2021,BMW 1 Series,193609,5,Europe,United Kingdom,Dealership
14/03/2021,2021,BMW 3 Series,213712,5,Europe,United Kingdom,Dealership
27/05/2021,2021,BMW X1,161320,4,Europe,United Kingdom,Online
18/11/2021,2021,BMW X1,189815,5,Europe,United Kingdom,Dealership
31/10/2021,2021,BMW 7 Series,473243,4,Europe,United Kingdom,Wholesale
09/09/2021,2021,BMW 5 Series,385170,5,Europe,United Kingdom,Online
09/09/2021,2021,BMW 3 Series,253084,5,Europe,United Kingdom,Dealership
06/08/2021,2021,BMW 2 Series,172958,4,Europe,United Kingdom,Wholesale
06/05/2021,2021,BMW 7 Series,371256,3,Europe,United Kingdom,Wholesale
09/06/2021,2021,BMW 7 Series,441395,4,Europe,United Kingdom,Dealership
25/03/2021,2021,BMW Z4,135638,2,Europe,United Kingdom,Dealership
28/04/2021,2021,BMW M3,89140,1,Europe,United Kingdom,Wholesale
31/12/2021,2021,BMW X1,423245,9,Europe,United Kingdom,Wholesale
08/07/2021,2021,BMW 2 Series,297570,6,Europe,United Kingdom,Online
28/08/2021,2021,BMW M3,80830,1,Europe,United Kingdom,Dealership
10/07/2021,2021,BMW iX3,188600,3,Europe,United Kingdom,Dealership
04/12/2021,2021,BMW 3 Series,298470,6,Europe,United Kingdom,Online
28/01/2021,2021,BMW X3,181757,4,Europe,United Kingdom,Wholesale
19/06/2021,2021,BMW 4 Series,209773,4,Europe,United Kingdom,Wholesale
05/06/2021,2021,BMW Z4,119961,2,Europe,United Kingdom,Dealership
14/01/2021,2021,BMW 1 Series,169937,5,Europe,United Kingdom,Dealership
09/05/2021,2021,BMW 2 Series,186551,4,Europe,United Kingdom,Dealership
23/04/2021,2021,BMW 4 Series,204283,4,Europe,United Kingdom,Online
14/03/2021,2021,BMW 2 Series,261473,6,Europe,United Kingdom,Dealership
30/06/2021,2021,BMW X5,131361,2,Europe,United Kingdom,Online
02/12/2021,2021,BMW X1,257838,7,Europe,United Kingdom,Dealership
11/02/2021,2021,BMW X5,133709,2,Europe,United Kingdom,Online
15/06/2021,2021,BMW 5 Series,271071,4,Europe,United Kingdom,Online
16/07/2021,2021,BMW 4 Series,302610,5,Europe,United Kingdom,Wholesale
10/03/2021,2021,BMW X5,169863,2,Europe,United Kingdom,Dealership
22/04/2021,2021,BMW 5 Series,452556,6,Europe,United Kingdom,Dealership
27/04/2021,2021,BMW 3 Series,388285,7,Europe,United Kingdom,Online
29/06/2021,2021,BMW X4,114550,2,Europe,United Kingdom,Online
26/10/2021,2021,BMW 1 Series,224153,8,Europe,United Kingdom,Online
27/10/2021,2021,BMW X3,228995,5,Europe,United Kingdom,Dealership
17/01/2021,2021,BMW 1 Series,106518,3,Europe,United Kingdom,Dealership
26/12/2021,2021,BMW 5 Series,432178,7,Europe,United Kingdom,Online
10/08/2021,2021,BMW X1,298579,7,Europe,United Kingdom,Wholesale
13/10/2021,2021,BMW 1 Series,202313,6,Europe,United Kingdom,Online
10/09/2021,2021,BMW 1 Series,327906,10,Europe,United Kingdom,Dealership
15/04/2021,2021,BMW 3 Series,343858,6,Europe,United Kingdom,Online
09/02/2021,2021,BMW X1,166323,4,Europe,France,Dealership
30/01/2021,2021,BMW Z4,66391,1,Europe,France,Online
10/07/2021,2021,BMW X5,289231,4,Europe,France,Online
03/09/2021,2021,BMW X3,180195,4,Europe,France,Wholesale
17/12/2021,2021,BMW X3,331646,7,Europe,France,Dealership
02/10/2021,2021,BMW X3,319128,6,Europe,France,Dealership
04/05/2021,2021,BMW X6,156705,2,Europe,France,Online
07/12/2021,2021,BMW M3,146679,2,Europe,France,Wholesale
15/08/2021,2021,BMW 2 Series,44890,1,Europe,France,Online
14/07/2021,2021,BMW X1,281598,7,Europe,France,Online
25/10/2021,2021,BMW X1,367665,9,Europe,France,Wholesale
23/11/2021,2021,BMW M3,83745,1,Europe,France,Dealership
13/09/2021,2021,BMW X1,264684,7,Europe,France,Wholesale
10/04/2021,2021,BMW X3,203374,4,Europe,France,Dealership
10/06/2021,2021,BMW 5 Series,194471,3,Europe,France,Dealership
24/12/2021,2021,BMW X1,303448,7,Europe,France,Dealership
03/08/2021,2021,BMW 1 Series,99518,3,Europe,France,Dealership
01/03/2021,2021,BMW 7 Series,111595,1,Europe,France,Dealership
24/06/2021,2021,BMW X3,273877,5,Europe,France,Dealership
15/05/2021,2021,BMW 5 Series,393998,7,Europe,France,Wholesale
04/01/2021,2021,BMW 3 Series,273943,5,Europe,France,Wholesale
08/01/2021,2021,BMW M4,178435,2,Europe,France,Wholesale
30/10/2021,2021,BMW 5 Series,188717,3,Europe,France,Online
27/08/2021,2021,BMW X3,350084,7,Europe,France,Wholesale
22/05/2021,2021,BMW 7 Series,486704,4,Europe,France,Online
16/01/2021,2021,BMW M3,164216,2,Europe,France,Dealership
16/06/2021,2021,BMW X7,401499,4,Europe,France,Wholesale
30/01/2021,2021,BMW M8,315908,2,Europe,France,Dealership
31/12/2021,2021,BMW 3 Series,512692,10,Europe,France,Online
07/04/2021,2021,BMW 7 Series,622101,5,Europe,France,Online
26/10/2021,2021,BMW 2 Series,161485,4,Europe,France,Online
06/03/2021,2021,BMW 7 Series,107923,1,Europe,France,Online
07/12/2021,2021,BMW 1 Series,95060,3,Europe,France,Online
22/07/2021,2021,BMW 3 Series,339226,7,Europe,France,Dealership
13/04/2021,2021,BMW X2,113763,3,Europe,France,Wholesale
29/12/2021,2021,BMW 3 Series,198226,4,Europe,France,Wholesale
03/09/2021,2021,BMW M5,259834,2,Europe,France,Dealership
15/02/2021,2021,BMW X5,407613,5,Europe,France,Online
28/11/2021,2021,BMW M8,420460,3,Europe,France,Dealership
28/03/2021,2021,BMW X3,550278,10,Europe,France,Online
05/12/2021,2021,BMW M5,219024,2,Europe,France,Wholesale
12/01/2021,2021,BMW X3,190926,4,Europe,France,Online
20/07/2021,2021,BMW X1,214516,5,Europe,France,Dealership
05/07/2021,2021,BMW X1,270503,7,Europe,France,Dealership
30/08/2021,2021,BMW 7 Series,387754,4,Europe,France,Dealership
29/05/2021,2021,BMW 3 Series,445932,9,Europe,France,Wholesale
05/04/2021,2021,BMW X5,319184,5,Europe,France,Online
04/06/2021,2021,BMW 4 Series,167907,3,Europe,France,Online
03/02/2021,2021,BMW 3 Series,296912,6,Europe,France,Wholesale
29/12/2021,2021,BMW 3 Series,344254,6,Europe,France,Wholesale
07/07/2021,2021,BMW 1 Series,136204,4,Europe,France,Dealership
14/07/2021,2021,BMW 5 Series,296754,4,Europe,France,Online
14/08/2021,2021,BMW 3 Series,341407,8,Europe,France,Dealership
19/10/2021,2021,BMW X4,269005,4,Europe,France,Dealership
03/08/2021,2021,BMW M8,145665,1,Europe,France,Wholesale
07/08/2021,2021,BMW 7 Series,471989,4,Europe,France,Wholesale
28/06/2021,2021,BMW 1 Series,164994,5,Europe,France,Wholesale
29/07/2021,2021,BMW 8 Series,104002,1,Europe,France,Wholesale
25/03/2021,2021,BMW 1 Series,154871,4,Europe,France,Dealership
01/10/2021,2021,BMW M8,283591,2,Europe,France,Wholesale
10/02/2021,2021,BMW X3,317757,6,Europe,France,Online
18/02/2021,2021,BMW M3,89929,1,Europe,France,Wholesale
09/03/2021,2021,BMW iX3,67286,1,Europe,France,Dealership
29/10/2021,2021,BMW M3,84485,1,Europe,France,Dealership
19/02/2021,2021,BMW 3 Series,262295,6,Europe,France,Dealership
03/12/2021,2021,BMW 3 Series,451149,9,Europe,France,Dealership
26/02/2021,2021,BMW X3,112641,2,Europe,France,Dealership
31/07/2021,2021,BMW Z4,100193,2,Europe,France,Dealership
02/01/2021,2021,BMW 5 Series,380418,5,Europe,France,Dealership
17/06/2021,2021,BMW 5 Series,264397,4,Europe,France,Dealership
09/01/2021,2021,BMW X3,204496,4,Europe,France,Dealership
12/04/2021,2021,BMW X1,145794,4,Europe,France,Dealership
06/09/2021,2021,BMW X1,188658,5,Europe,France,Online
17/02/2021,2021,BMW 7 Series,217913,2,Europe,France,Dealership
27/02/2021,2021,BMW 4 Series,181286,3,Europe,France,Online
16/03/2021,2021,BMW 5 Series,122413,2,Europe,France,Wholesale
03/04/2021,2021,BMW 3 Series,270904,6,Europe,France,Online
18/02/2021,2021,BMW 3 Series,134689,3,Europe,France,Wholesale
11/12/2021,2021,BMW 4 Series,216745,4,Europe,France,Online
26/09/2021,2021,BMW 3 Series,404756,9,Europe,France,Dealership
13/11/2021,2021,BMW 8 Series,103597,1,Europe,France,Dealership
06/06/2021,2021,BMW M8,148684,1,Europe,France,Wholesale
06/03/2021,2021,BMW X2,178049,4,Europe,France,Wholesale
24/04/2021,2021,BMW X5,418443,5,Europe,France,Dealership
09/04/2021,2021,BMW X1,204175,5,Europe,France,Dealership
24/08/2021,2021,BMW 3 Series,196965,4,Europe,France,Online
06/02/2021,2021,BMW 5 Series,276614,4,Europe,France,Dealership
10/10/2021,2021,BMW 3 Series,170011,4,Europe,France,Dealership
15/01/2021,2021,BMW 1 Series,107862,3,Europe,France,Wholesale
30/07/2021,2021,BMW 3 Series,274523,6,Europe,France,Dealership
29/12/2021,2021,BMW M2,68314,1,Europe,France,Wholesale
07/09/2021,2021,BMW Z4,53542,1,Europe,France,Dealership
11/06/2021,2021,BMW X5,427563,6,Europe,France,Online
05/11/2021,2021,BMW 3 Series,158448,3,Europe,France,Dealership
17/07/2021,2021,BMW 5 Series,206083,3,Europe,France,Online
15/07/2021,2021,BMW M3,165311,2,Europe,France,Wholesale
28/08/2021,2021,BMW iX,113422,1,Europe,France,Wholesale
28/09/2021,2021,BMW X1,454733,11,Europe,France,Wholesale
13/08/2021,2021,BMW X1,179834,4,Europe,France,Dealership
15/11/2021,2021,BMW 1 Series,201903,6,Europe,France,Wholesale
27/11/2021,2021,BMW X5,315503,5,Europe,France,Wholesale
25/06/2021,2021,BMW 3 Series,543019,10,Europe,France,Online
01/01/2021,2021,BMW X3,231898,4,Europe,France,Dealership
10/06/2021,2021,BMW X2,197270,4,Europe,France,Dealership
13/11/2021,2021,BMW 5 Series,72971,1,Europe,France,Online
08/01/2021,2021,BMW X7,181223,2,Europe,France,Dealership
07/01/2021,2021,BMW 4 Series,237537,5,Europe,France,Dealership
01/05/2021,2021,BMW M4,80259,1,Europe,France,Dealership
21/10/2021,2021,BMW 3 Series,219242,4,Europe,France,Wholesale
09/10/2021,2021,BMW 3 Series,446321,9,Europe,France,Dealership
02/12/2021,2021,BMW 4 Series,292333,6,Europe,France,Dealership
07/04/2021,2021,BMW 7 Series,501063,4,Europe,France,Dealership
25/08/2021,2021,BMW X1,146782,4,Europe,France,Wholesale
27/07/2021,2021,BMW 7 Series,217111,2,Europe,France,Dealership
15/05/2021,2021,BMW X3,369692,7,Europe,France,Wholesale
14/08/2021,2021,BMW X3,290638,5,Europe,France,Dealership
30/04/2021,2021,BMW X3,476579,8,Europe,France,Online
07/08/2021,2021,BMW X2,87952,2,Europe,France,Dealership
07/11/2021,2021,BMW X5,221076,3,Europe,France,Wholesale
09/10/2021,2021,BMW X3,286193,5,Europe,France,Dealership
05/06/2021,2021,BMW 3 Series,276199,6,Europe,France,Dealership
11/09/2021,2021,BMW M2,61426,1,Europe,France,Online
28/08/2021,2021,BMW X1,168429,4,Europe,France,Dealership
20/01/2021,2021,BMW X5,269012,4,Europe,France,Wholesale
13/01/2021,2021,BMW 3 Series,93416,2,Europe,France,Dealership
28/11/2021,2021,BMW 1 Series,145982,4,Europe,France,Wholesale
02/02/2021,2021,BMW 8 Series,115176,1,Europe,France,Wholesale
06/11/2021,2021,BMW 1 Series,166737,4,Europe,France,Online
18/07/2021,2021,BMW X7,174787,2,Europe,France,Dealership
20/03/2021,2021,BMW X3,440405,8,Europe,France,Online
02/03/2021,2021,BMW X3,445407,9,Europe,France,Dealership
12/09/2021,2021,BMW M3,156151,2,Europe,France,Online
20/04/2021,2021,BMW 1 Series,173424,6,Europe,France,Wholesale
21/06/2021,2021,BMW 5 Series,126482,2,Europe,France,Dealership
20/11/2021,2021,BMW 2 Series,88541,2,Europe,France,Dealership
10/07/2021,2021,BMW X1,274282,6,Europe,France,Dealership
03/09/2021,2021,BMW 7 Series,567022,6,Europe,France,Dealership
13/03/2021,2021,BMW X3,451776,8,Europe,France,Wholesale
04/04/2021,2021,BMW 3 Series,405256,9,Europe,France,Dealership
30/12/2021,2021,BMW 5 Series,458948,6,Europe,France,Online
15/01/2021,2021,BMW 7 Series,250851,2,Europe,France,Wholesale
10/02/2021,2021,BMW 3 Series,214344,4,Europe,France,Wholesale
24/05/2021,2021,BMW 7 Series,110432,1,Europe,France,Online
16/04/2021,2021,BMW 4 Series,166177,3,Europe,France,Dealership
10/09/2021,2021,BMW X3,664164,11,Europe,France,Dealership
24/04/2021,2021,BMW M3,78074,1,Europe,France,Dealership
27/08/2021,2021,BMW X7,183724,2,Europe,France,Wholesale
20/02/2021,2021,BMW 1 Series,198244,6,Europe,France,Online
02/03/2021,2021,BMW 1 Series,182309,5,Europe,France,Online
18/01/2021,2021,BMW X4,129695,2,Europe,France,Wholesale
24/03/2021,2021,BMW X3,51879,1,Europe,France,Dealership
05/03/2021,2021,BMW X1,218090,6,Europe,France,Wholesale
08/10/2021,2021,BMW X1,260774,7,Europe,France,Dealership
27/09/2021,2021,BMW 3 Series,222202,5,Europe,France,Dealership
01/01/2021,2021,BMW X4,190946,3,Europe,France,Wholesale
24/03/2021,2021,BMW 5 Series,389056,5,Europe,France,Online
15/05/2021,2021,BMW 4 Series,203853,4,Europe,France,Dealership
14/12/2021,2021,BMW 5 Series,189837,3,Europe,Italy,Dealership
01/04/2021,2021,BMW X3,338810,6,Europe,Italy,Online
26/10/2021,2021,BMW X5,399359,5,Europe,Italy,Wholesale
12/10/2021,2021,BMW 3 Series,198094,4,Europe,Italy,Wholesale
17/03/2021,2021,BMW X3,319400,6,Europe,Italy,Wholesale
21/03/2021,2021,BMW 3 Series,443525,8,Europe,Italy,Online
21/11/2021,2021,BMW X3,158229,3,Europe,Italy,Wholesale
27/02/2021,2021,BMW X5,149975,2,Europe,Italy,Online
16/09/2021,2021,BMW X5,371251,5,Europe,Italy,Dealership
13/08/2021,2021,BMW X5,159588,2,Europe,Italy,Online
29/09/2021,2021,BMW 2 Series,236358,5,Europe,Italy,Wholesale
20/03/2021,2021,BMW 2 Series,85197,2,Europe,Italy,Wholesale
10/05/2021,2021,BMW X6,86753,1,Europe,Italy,Wholesale
04/05/2021,2021,BMW 2 Series,194307,5,Europe,Italy,Wholesale
27/01/2021,2021,BMW X1,182818,4,Europe,Italy,Dealership
11/02/2021,2021,BMW 2 Series,98038,2,Europe,Italy,Dealership
21/10/2021,2021,BMW 5 Series,365358,5,Europe,Italy,Dealership
15/05/2021,2021,BMW 3 Series,271738,5,Europe,Italy,Dealership
06/09/2021,2021,BMW X7,344255,4,Europe,Italy,Dealership
19/12/2021,2021,BMW X1,173003,4,Europe,Italy,Dealership
03/03/2021,2021,BMW X7,182162,2,Europe,Italy,Dealership
13/11/2021,2021,BMW X3,429672,7,Europe,Italy,Dealership
17/04/2021,2021,BMW 3 Series,303511,7,Europe,Italy,Wholesale
13/11/2021,2021,BMW X1,368214,9,Europe,Italy,Online
24/05/2021,2021,BMW 3 Series,330792,6,Europe,Italy,Wholesale
25/06/2021,2021,BMW X3,314833,6,Europe,Italy,Dealership
24/06/2021,2021,BMW 5 Series,351819,6,Europe,Italy,Dealership
02/10/2021,2021,BMW M5,230541,2,Europe,Italy,Dealership
06/04/2021,2021,BMW 3 Series,344027,6,Europe,Italy,Online
17/10/2021,2021,BMW X1,215732,5,Europe,Italy,Wholesale
29/03/2021,2021,BMW 5 Series,399317,6,Europe,Italy,Online
26/03/2021,2021,BMW 3 Series,381436,8,Europe,Italy,Online
25/09/2021,2021,BMW 4 Series,303966,5,Europe,Italy,Wholesale
09/02/2021,2021,BMW X3,106961,2,Europe,Italy,Dealership
14/08/2021,2021,BMW X5,337355,4,Europe,Italy,Wholesale
15/08/2021,2021,BMW 2 Series,88530,2,Europe,Italy,Dealership
05/06/2021,2021,BMW M3,86078,1,Europe,Italy,Online
02/03/2021,2021,BMW 5 Series,126248,2,Europe,Italy,Wholesale
29/05/2021,2021,BMW X3,482948,10,Europe,Italy,Dealership
08/05/2021,2021,BMW 7 Series,370705,3,Europe,Italy,Online
08/06/2021,2021,BMW X1,235589,6,Europe,Italy,Dealership
03/11/2021,2021,BMW 2 Series,126591,3,Europe,Italy,Wholesale
29/05/2021,2021,BMW X4,125111,2,Europe,Italy,Dealership
18/01/2021,2021,BMW M5,120206,1,Europe,Italy,Online
21/10/2021,2021,BMW 3 Series,142615,3,Europe,Italy,Online
28/06/2021,2021,BMW 1 Series,208407,5,Europe,Italy,Wholesale
11/03/2021,2021,BMW 3 Series,302044,6,Europe,Italy,Dealership
19/06/2021,2021,BMW 2 Series,121971,3,Europe,Italy,Online
02/10/2021,2021,BMW 4 Series,182209,3,Europe,Italy,Dealership
06/02/2021,2021,BMW X1,82630,2,Europe,Italy,Wholesale
24/02/2021,2021,BMW X3,162311,3,Europe,Italy,Dealership
24/12/2021,2021,BMW 5 Series,211577,3,Europe,Italy,Dealership
11/11/2021,2021,BMW X1,214763,5,Europe,Italy,Wholesale
12/07/2021,2021,BMW 3 Series,366709,7,Europe,Italy,Dealership
17/06/2021,2021,BMW 3 Series,260094,5,Europe,Italy,Wholesale
01/03/2021,2021,BMW 1 Series,138161,4,Europe,Italy,Wholesale
08/11/2021,2021,BMW X3,181394,4,Europe,Italy,Dealership
07/10/2021,2021,BMW 3 Series,169326,4,Europe,Italy,Wholesale
08/06/2021,2021,BMW X4,130798,2,Europe,Italy,Online
25/11/2021,2021,BMW X3,321156,6,Europe,Italy,Online
09/08/2021,2021,BMW 3 Series,245599,5,Europe,Italy,Dealership
06/02/2021,2021,BMW 3 Series,129880,3,Europe,Italy,Dealership
16/10/2021,2021,BMW 3 Series,177497,4,Europe,Italy,Dealership
27/08/2021,2021,BMW X5,148786,2,Europe,Italy,Dealership
08/10/2021,2021,BMW X7,183738,2,Europe,Italy,Wholesale
03/08/2021,2021,BMW M5,256928,2,Europe,Italy,Wholesale
11/04/2021,2021,BMW i3,91010,2,Europe,Italy,Dealership
23/10/2021,2021,BMW 2 Series,127540,3,Europe,Italy,Online
17/01/2021,2021,BMW X3,245261,4,Europe,Italy,Wholesale
25/11/2021,2021,BMW 2 Series,129282,3,Europe,Italy,Wholesale
30/05/2021,2021,BMW X1,248850,6,Europe,Italy,Dealership
24/11/2021,2021,BMW 4 Series,242525,4,Europe,Italy,Dealership
20/08/2021,2021,BMW 3 Series,182583,4,Europe,Italy,Dealership
15/11/2021,2021,BMW 7 Series,605782,5,Europe,Italy,Wholesale
02/04/2021,2021,BMW M4,84502,1,Europe,Italy,Dealership
30/09/2021,2021,BMW 3 Series,548879,10,Europe,Italy,Dealership
12/01/2021,2021,BMW 5 Series,167728,3,Europe,Italy,Wholesale
05/04/2021,2021,BMW 4 Series,211835,4,Europe,Italy,Online
21/01/2021,2021,BMW X3,279927,5,Europe,Italy,Dealership
09/10/2021,2021,BMW X3,191021,4,Europe,Italy,Online
18/12/2021,2021,BMW 5 Series,231018,4,Europe,Italy,Dealership
19/08/2021,2021,BMW 4 Series,223884,4,Europe,Italy,Dealership
14/08/2021,2021,BMW X1,151456,4,Europe,Italy,Wholesale
26/03/2021,2021,BMW Z4,232339,4,Europe,Italy,Online
09/07/2021,2021,BMW X3,303282,5,Europe,Italy,Dealership
14/06/2021,2021,BMW 3 Series,545677,12,Europe,Italy,Dealership
17/06/2021,2021,BMW X5,75424,1,Europe,Italy,Online
21/08/2021,2021,BMW X4,194557,3,Europe,Italy,Online
24/06/2021,2021,BMW 2 Series,239006,5,Europe,Italy,Dealership
13/05/2021,2021,BMW X3,215104,4,Europe,Italy,Online
20/04/2021,2021,BMW 5 Series,266991,4,Europe,Italy,Online
05/10/2021,2021,BMW iX3,131230,2,Europe,Italy,Wholesale
30/01/2021,2021,BMW 7 Series,209631,2,Europe,Italy,Wholesale
11/09/2021,2021,BMW 3 Series,249891,5,Europe,Italy,Wholesale
23/03/2021,2021,BMW X1,377585,9,Europe,Italy,Wholesale
01/01/2021,2021,BMW 2 Series,48548,1,Europe,Italy,Online
06/11/2021,2021,BMW 1 Series,162745,4,Europe,Italy,Wholesale
15/05/2021,2021,BMW X5,411529,5,Europe,Italy,Dealership
28/12/2021,2021,BMW 5 Series,466433,7,Europe,Italy,Dealership
16/11/2021,2021,BMW i4,134895,2,Europe,Italy,Dealership
30/01/2021,2021,BMW 4 Series,180170,4,Europe,Italy,Wholesale
16/12/2021,2021,BMW 1 Series,110462,3,Europe,Italy,Dealership
16/10/2021,2021,BMW 2 Series,43583,1,Europe,Italy,Wholesale
04/09/2021,2021,BMW X2,82404,2,Europe,Italy,Wholesale
25/10/2021,2021,BMW 2 Series,127289,3,Europe,Italy,Online
08/03/2021,2021,BMW X1,368044,10,Europe,Italy,Dealership
26/02/2021,2021,BMW 5 Series,142050,2,Europe,Italy,Dealership
28/09/2021,2021,BMW M5,111536,1,Europe,Italy,Dealership
30/10/2021,2021,BMW M4,187230,2,Europe,Italy,Dealership
16/01/2021,2021,BMW X3,118948,2,Europe,Italy,Online
22/01/2021,2021,BMW 8 Series,119901,1,Europe,Italy,Online
25/10/2021,2021,BMW X1,203274,5,Europe,Italy,Wholesale
04/01/2021,2021,BMW X1,147686,4,Europe,Italy,Online
19/01/2021,2021,BMW 1 Series,144118,5,Europe,Italy,Dealership
02/03/2021,2021,BMW 3 Series,454490,9,Europe,Italy,Dealership
14/02/2021,2021,BMW X1,282223,7,Europe,Italy,Dealership
05/11/2021,2021,BMW X3,448441,8,Europe,Italy,Dealership
06/10/2021,2021,BMW X3,227030,5,Europe,Italy,Dealership
11/12/2021,2021,BMW X3,295003,6,Europe,Italy,Wholesale
13/09/2021,2021,BMW X7,174787,2,Europe,Italy,Wholesale
20/08/2021,2021,BMW X5,141713,2,Europe,Italy,Dealership
03/08/2021,2021,BMW X5,259127,4,Europe,Italy,Online
16/04/2021,2021,BMW X2,122082,3,Europe,Italy,Dealership
06/07/2021,2021,BMW 3 Series,172950,4,Europe,Italy,Dealership
17/04/2021,2021,BMW M5,252433,2,Europe,Italy,Dealership
20/10/2021,2021,BMW X5,354585,5,Europe,Italy,Wholesale
17/06/2021,2021,BMW M2,64724,1,Europe,Spain,Online
21/02/2021,2021,BMW M2,125215,2,Europe,Spain,Dealership
11/12/2021,2021,BMW 7 Series,191719,2,Europe,Spain,Wholesale
23/09/2021,2021,BMW M3,171109,2,Europe,Spain,Wholesale
13/03/2021,2021,BMW 1 Series,168619,5,Europe,Spain,Wholesale
14/02/2021,2021,BMW M5,250345,2,Europe,Spain,Dealership
21/10/2021,2021,BMW 3 Series,426016,8,Europe,Spain,Online
01/07/2021,2021,BMW X1,85229,2,Europe,Spain,Wholesale
19/02/2021,2021,BMW 3 Series,225239,4,Europe,Spain,Online
18/09/2021,2021,BMW X3,376488,7,Europe,Spain,Online
10/05/2021,2021,BMW X3,156227,3,Europe,Spain,Dealership
04/08/2021,2021,BMW 3 Series,141511,3,Europe,Spain,Online
03/09/2021,2021,BMW 5 Series,289620,4,Europe,Spain,Wholesale
28/06/2021,2021,BMW 5 Series,283962,4,Europe,Spain,Online
22/07/2021,2021,BMW 4 Series,241303,4,Europe,Spain,Online
04/01/2021,2021,BMW 1 Series,112038,4,Europe,Spain,Online
11/06/2021,2021,BMW iX3,114687,2,Europe,Spain,Wholesale
18/04/2021,2021,BMW 3 Series,188356,4,Europe,Spain,Online
27/07/2021,2021,BMW X4,109712,2,Europe,Spain,Wholesale
02/09/2021,2021,BMW 1 Series,171904,5,Europe,Spain,Dealership
08/06/2021,2021,BMW X3,187925,4,Europe,Spain,Online
26/02/2021,2021,BMW X3,183266,3,Europe,Spain,Online
01/11/2021,2021,BMW X3,357220,6,Europe,Spain,Wholesale
07/12/2021,2021,BMW M4,171832,2,Europe,Spain,Dealership
30/08/2021,2021,BMW X5,252302,3,Europe,Spain,Dealership
19/04/2021,2021,BMW 3 Series,336797,7,Europe,Spain,Dealership
08/11/2021,2021,BMW X7,209284,2,Europe,Spain,Online
03/06/2021,2021,BMW 4 Series,306296,5,Europe,Spain,Dealership
02/08/2021,2021,BMW X3,228637,4,Europe,Spain,Dealership
08/07/2021,2021,BMW X4,247059,4,Europe,Spain,Dealership
28/10/2021,2021,BMW X3,275762,5,Europe,Spain,Wholesale
13/09/2021,2021,BMW 1 Series,175014,5,Europe,Spain,Wholesale
22/05/2021,2021,BMW M4,92422,1,Europe,Spain,Dealership
28/11/2021,2021,BMW 1 Series,182273,5,Europe,Spain,Dealership
12/02/2021,2021,BMW 2 Series,120010,3,Europe,Spain,Dealership
06/06/2021,2021,BMW X5,190427,3,Europe,Spain,Dealership
16/06/2021,2021,BMW 1 Series,145979,4,Europe,Spain,Dealership
29/10/2021,2021,BMW 5 Series,264616,4,Europe,Spain,Wholesale
26/05/2021,2021,BMW X7,204995,2,Europe,Spain,Dealership
03/03/2021,2021,BMW X7,346912,4,Europe,Spain,Dealership
22/07/2021,2021,BMW 4 Series,222240,4,Europe,Spain,Dealership
18/11/2021,2021,BMW 1 Series,128452,4,Europe,Spain,Dealership
29/01/2021,2021,BMW 3 Series,147197,3,Europe,Spain,Dealership
04/10/2021,2021,BMW X1,254486,6,Europe,Spain,Dealership
17/11/2021,2021,BMW X4,182894,3,Europe,Spain,Dealership
28/10/2021,2021,BMW M4,92659,1,Europe,Spain,Wholesale
13/03/2021,2021,BMW 4 Series,241719,5,Europe,Spain,Wholesale
15/01/2021,2021,BMW 5 Series,155195,2,Europe,Spain,Dealership
03/06/2021,2021,BMW 1 Series,72741,2,Europe,Spain,Wholesale
09/04/2021,2021,BMW 5 Series,227168,4,Europe,Spain,Wholesale
10/11/2021,2021,BMW X5,223489,3,Europe,Spain,Wholesale
30/01/2021,2021,BMW X1,128331,3,Europe,Spain,Wholesale
09/02/2021,2021,BMW 3 Series,137255,3,Europe,Spain,Dealership
15/07/2021,2021,BMW 5 Series,299902,4,Europe,Spain,Online
20/11/2021,2021,BMW X5,284148,4,Europe,Spain,Dealership
06/07/2021,2021,BMW 3 Series,113487,2,Europe,Spain,Dealership
16/12/2021,2021,BMW 5 Series,301739,4,Europe,Spain,Dealership
23/04/2021,2021,BMW 3 Series,286518,5,Europe,Spain,Dealership
28/07/2021,2021,BMW 3 Series,273573,5,Europe,Spain,Wholesale
19/09/2021,2021,BMW X1,236820,6,Europe,Spain,Dealership
20/06/2021,2021,BMW X5,266413,4,Europe,Spain,Dealership
04/09/2021,2021,BMW 1 Series,163177,4,Europe,Spain,Online
27/02/2021,2021,BMW X5,159784,2,Europe,Spain,Dealership
04/07/2021,2021,BMW X5,338641,5,Europe,Spain,Wholesale
24/09/2021,2021,BMW 4 Series,302980,5,Europe,Spain,Wholesale
09/06/2021,2021,BMW 4 Series,235909,4,Europe,Spain,Dealership
29/03/2021,2021,BMW 3 Series,525768,10,Europe,Spain,Dealership
22/09/2021,2021,BMW X5,369081,5,Europe,Spain,Wholesale
23/09/2021,2021,BMW X5,396906,5,Europe,Spain,Dealership
07/10/2021,2021,BMW X1,266304,6,Europe,Spain,Online
14/05/2021,2021,BMW i3,83246,2,Europe,Spain,Dealership
18/09/2021,2021,BMW 3 Series,298132,6,Europe,Spain,Dealership
24/03/2021,2021,BMW X1,160988,4,Europe,Spain,Wholesale
03/07/2021,2021,BMW M3,74068,1,Europe,Spain,Dealership
31/07/2021,2021,BMW M4,173700,2,Europe,Spain,Wholesale
